Sl.No.,State/UT,SHG formed
1,Andhra Pradesh,10055
2,Assam,20111
3,Bihar,132424
4,Chhattisgarh,6908
5,Gujarat,15469
6,Jharkhand,4763
7,Karnataka,5111
8,Kerala,9092
9,Madhya Pradesh,18051
10,Maharashtra,5937
11,Odisha,20124
12,Rajasthan,4917
13,Tamil Nadu,84981
14,Telangana,7698
15,Uttar Pradesh,8866
16,West Bengal,48774
17,Haryana,844
18,Himachal Pradesh,576
19,Jammu and Kashmir,2652
20,Punjab,378
21,Uttarakhand,209
24,Meghalaya,8
25,Mizoram,287
26,Nagaland,947
Total,Total,409182
