S.No.,State Name,Disbursement Amount in Crore,SC%,ST%,OBC %,Women %
1,Andaman and Nicobar Islands,212.78,11.75,3.56,43,30.79
2,Andhra Pradesh,5790.79,7.17,2.62,23.5,32.8
3,Arunachal Pradesh,71.62,3.92,66.62,6.06,18.17
4,Assam,1728.46,5.88,5.14,16.7,38.12
5,Bihar,7265.91,13.02,3.1,48.2,51.8
6,Chandigarh,204.52,3.02,0.22,4.77,17.74
7,Chhattisgarh,2156.14,9.83,8.63,29.47,43.04
8,Dadra and Nagar Haveli,21.27,3.95,3.86,9.36,16.78
9,Daman and Diu,12.02,2.25,0.75,10.73,12.15
10,Delhi,2857.97,5.16,1.14,6.62,28.38
11,Goa,376.04,1,6.11,6.81,23.08
12,Gujarat,5910.02,4.85,3.29,16.21,36.44
13,Haryana,3152.62,18.16,1.78,16.09,46.06
14,Himachal Pradesh,965.7,12.13,7.05,7.56,18.35
15,Jammu and Kashmir,1152.15,3.67,3.13,1.36,14.14
16,Jharkhand,2845.66,6.47,6.83,33.16,41.98
17,Karnataka,16469.43,7.92,3.8,18.73,54.89
18,Kerala,4727.38,6.7,1,29.29,39.54
19,Lakshadweep,5.35,1.12,63.36,5.98,18.5
20,Madhya Pradesh,7769.29,12.61,7.27,31.1,56.27
21,Maharashtra,13372.42,9.53,4.02,19.44,51.57
22,Manipur,120.03,4.83,27.63,14.25,36.12
23,Meghalaya,162.41,7.35,58.78,4.71,40.64
24,Mizoram,77.78,6.07,81.02,4.9,34.98
25,Nagaland,76.54,5.77,67.18,4.23,28.85
26,Odisha,5436.26,12.44,5.66,39.68,59.74
27,Puducherry,331.91,9.51,0.31,46.28,47.27
28,Punjab,3484.49,21.15,0.99,7.45,34.95
29,Rajasthan,5248.28,8.89,4.22,19.3,35.39
30,Sikkim,54.61,9.3,13.26,11.5,49.51
31,Tamil Nadu,15496.86,13.17,0.91,23.07,59.47
32,Telangana,3694.34,5.86,3.92,15.18,27.63
33,Tripura,337.26,15.15,12.53,14.8,37.12
34,Uttar Pradesh,11880.93,18.21,1.87,25.56,46.78
35,Uttarakhand,1745.08,14.42,4.84,15.05,39.25
36,West Bengal,7740.41,14.02,2.57,7.27,56.03
Total,Total,132954.73,11.05,3.57,22.39,47.53
